estado,municipio,cp,asentamiento,tipo
"Ciudad de México","Álvaro Obregón",01000,"San Ángel",Colonia
"Ciudad de México","Álvaro Obregón",01010,"Los Alpes",Colonia
"Ciudad de México","Álvaro Obregón",01020,"Guadalupe Inn",Colonia
"Ciudad de México","Álvaro Obregón",01029,INFONAVIT,"Gran usuario"
"Ciudad de México","Álvaro Obregón",01030,Axotla,Pueblo
"Ciudad de México","Álvaro Obregón",01030,Florida,Colonia
"Ciudad de México","Álvaro Obregón",01040,Campestre,Colonia
"Ciudad de México","Álvaro Obregón",01048,"Las Águilas","Unidad habitacional"
"Ciudad de México","Álvaro Obregón",01049,Tlacopac,Pueblo
"Ciudad de México","Álvaro Obregón",01050,"Ex-Hacienda de Guadalupe Chimalistac",Colonia
"Ciudad de México","Álvaro Obregón",01060,Altavista,Colonia
"Ciudad de México","Álvaro Obregón",01060,"San Ángel Inn",Colonia
"Ciudad de México","Álvaro Obregón",01070,Chimalistac,Colonia
"Ciudad de México","Álvaro Obregón",01080,"Progreso Tizapan",Colonia
"Ciudad de México","Álvaro Obregón",01089,"Ermita Tizapan",Colonia
"Ciudad de México","Álvaro Obregón",01090,"La Otra Banda",Barrio
"Ciudad de México","Álvaro Obregón",01090,Loreto,Barrio
"Ciudad de México","Álvaro Obregón",01090,Tizapan,Pueblo
"Ciudad de México","Álvaro Obregón",01100,"Lomas de Santo Domingo","Unidad habitacional"
"Ciudad de México","Álvaro Obregón",01100,Pólvora,Colonia
"Ciudad de México","Álvaro Obregón",01109,"La Conchita",Colonia
"Ciudad de México","Álvaro Obregón",01110,"Ampliación El Capulín",Colonia
"Ciudad de México","Álvaro Obregón",01110,"Belém de las Flores",Colonia
"Ciudad de México","Álvaro Obregón",01110,"El Capulín",Colonia
"Ciudad de México","Álvaro Obregón",01110,"Liberales de 1857",Colonia
"Ciudad de México","Álvaro Obregón",01120,Acueducto,Colonia
"Ciudad de México","Álvaro Obregón",01120,Cove,Colonia
"Ciudad de México","Álvaro Obregón",01120,Hidalgo,Colonia
"Ciudad de México","Álvaro Obregón",01120,"Las Américas",Colonia
"Ciudad de México","Álvaro Obregón",01120,"Sears Roebuck","Unidad habitacional"
"Ciudad de México","Álvaro Obregón",01125,"Ampliación Acueducto",Colonia
"Ciudad de México","Álvaro Obregón",01130,"Molino de Santo Domingo",Colonia
"Ciudad de México","Álvaro Obregón",01130,"Molino de Santo Domingo","Unidad habitacional"
"Ciudad de México","Álvaro Obregón",01130,Paraíso,Colonia
"Ciudad de México","Álvaro Obregón",01130,"Real del Monte",Colonia
"Ciudad de México","Álvaro Obregón",01139,"Reacomodo Pino Suárez",Colonia
